Text,Emotion
The saddest moment in my life was when I lost my younger sister a few years back.,sadness
My grandmother died during Christmas break several years ago.,sadness
 I ’ m so jealous . ,neutral
 Thank you . ,joy
Talking with someone I admire a lot.,joy
"I was walking quite quickly and unthinking through a children's playground, when a toddler ran in front of me I knocked him over and he hit his head quite hard and began crying.",guilt
The boy gave a nervous smile ; Jean-Paul gestured to the waiter . ,fear
 I said sunny side up ! How many times do I have to tell you . ,anger
China winning the Asian Olympic games (TV).,joy
Enjoy your day today. Catch a dream! ~ MJ Ames  #wisdom #insight #quote,joy
@AttitudePolice  Makeups put smile on their Face and in their Heart,joy
"I was talking with an aunt of mine that I adore and I found courage to say \I love you\"" and just after that came the shame.""",shame
Almost every month it seems as though some sad parent on the local news is bemoaning the loss of their teenager who died in this way . ,sadness
"When I succeeded in achieving a scholarship for which I had strived hard during a period of financial, personal and physical stress.",joy
"Finished all my damn assignments with an hour and a half to spare, goodnight twitter, off to take a cat nap. See you in two hours ",joy
I really hope maintenance enjoyed seeing how pretty I look when I first roll out of bed ,surprise
"5pm, Friday evening... it must only be time for some dissertation reading. #NOT",joy
 Dickinson said: as soon as fed is dead --It's starving makes it fat.&#xA;#wisdom,anger
When someone I was close to became a paranoid schizophrenic and I was unable to see this person because of the situation.,sadness
"Nevertheless , the Commission 's disquiet has not prevented it from agreeing the designation . ",fear
 No problem . ,neutral
Hearing about developments of sience in the West a lot better than China.,sadness
I wish I could stay up for the  tweetathon but I have work in the morning :( ,sadness
One of jareds little cousins friends just told me im jareds girlfriend ... does he know something I don't? ,surprise
 I'm afraid I can only rent it for two months . ,sadness
"` You 're angry I 'm here , aren't you ? "" ",anger
 Thank you . ,neutral
Doesn't apply.,fear
"Hot water bottle, a cup of tea &amp; my lovely coursework ",joy
" There wasn't really anything that I could do . There's always been a lot of bad blood between my manager and myself . If I had said anything , he would have fired for me for sure . ",anger
` It 's actually made me quite nervous about being in London . ,fear
Most of my boos have lost so far I need the Chicago Made Punk to come thru for me...,sadness
"As we celebrate christmas let us show  to 1another sharing wat we hav 2gether...providing 4 the needy and hungry, wit &amp; #rejoicing",joy
" Oh , uh ... Thanks . Henry , do you have a light ? ",neutral
"When anybody wants to make me feel guilty. For example: I should do something for my mother, but things didn't go as she hoped. Then she threatens: I'll do it myself.",anger
I enjoy not being that drunk annoying screaming In your ear slutty retarded dumb ass haggard looking girl at the bar. #ew #toosober,joy
The two people that get talked about the most in my Cross Cultural class are Lebron and Tebow.  ,disgust
"I had joined a youth group that observed the affairs of our community and so I had many opportunities to contact the government and the committee members of the district board (a local executive structure).  We always tried to consult and discuss with them, but we found that such people did not understand community affairs and they even dampened our enthusiasm in local affairs.  I did not understand why they had decided to work as community leaders.",disgust
Slice of life. Azumanga Daioh a good relax tool for busy and stressful days. ,joy
"When a friend, after being free of drugs for half a year, started using them again.á ",sadness
"When I secretly tried smoking for the first time, being 12 years old.",guilt
Worked a 15 hour day today #sarcasm,joy
@cgstong I hear ya. My wife is the same way. For I'm gonna be in Cali for under 24 hours,fear
I had planned to go to town with my friend at 1500 hours but she went for the registration and I waited for a good 1 and a 1/2 hours.  It was vital for me to go to town but I could not as it was she who had the money.  Finally I borrowed some money from friends and we went to town.  I was really angry with my friend.,anger
Think I'm going to get her a shirt made with my name &amp; bball number on it! ,surprise
Man! Ecclesiastes had some solid revelations in it! Kinda  i just finished it tho. Oh well 65 other books full of Gods love. #fb,joy
" Oh , sure . ",neutral
"At a news conference at the Royal Geographical Society in London , they described the mental and physical anguish of their 95-day trek . ",sadness
thought it had me.. #Fear was thinking wrong !,fear
At an unjust insult or injure.,sadness
"At the age of 16 I had gone to see a film in a nearby village, about 8 kms  from my home.  I started walking as there was no bus.  I had to cross hills and as it was dark I could not identify the path.  Half way through it started raining and as there was no shelter I ran four kms to reach home.",fear
 I hope so . ,neutral
Left @ABillharz a present in his new humidifier ,surprise
Wel eens geprobeerd een punt te maken op een levensgroot potlood??  ,surprise
Wait so John Lennon dies on Jim Morrison's bday???? ,sadness
You may find your exasperation turns to inspiration ,anger
"io oggi dovevo semplicemente fare l'albero,perchè mi ritrovo a dover rimettere in ordine camera mia? ",sadness
"I am a \cantor\"" - I sing psalms in church. Several weeks ago I had to sing too, but the organist did not tell me in time. As I did not know the psalm, I was afraid and said that I could not sing.""",fear
I know if Bug dnt come back to the phone I'm hangin up.! ,joy
Found out that someone I knew well has been misunderstanding me for 2 years.,anger
"They were astonished to see the penguin , and swooped low to call out with delight at her sleek feathers and solid little body . ",joy
La requérante ( fort accent africain) :&quot;non mais moi je l'ai suwpwis au lit avec une autwe femme et moi je suis un homme comme vous&quot; ,fear
Shattered the screen on my beloved phone. #forealz?,sadness
I was very angry one day when my husband ignored me and slept      on a separate bed.  He had no reasons to doubt me or to neglect me and I had never imagined that he could do such a thing.,anger
Apple cinnamon tea &lt;3 ,joy
Homework and college apps for the rest of the night ,joy
"He woke stupefied , flicking his tongue over his parched lips like a reptile . ",surprise
Not everything is to be told on Twitter. Big coming. Stay tuned. Hint; think BIG! (Big smile and a wink) ;),surprise
The young woman just stared back like a frightened rabbit . ,fear
 but i feel like i know nothing for my econ exam tomorrow ,joy
He'd say &quot; damn I never woulda thought yo ass would wanna get wit me&quot; .....well nigga ,surprise
black friday shopping ,joy
Marc anthony fuckin rat ,disgust
My girlfriend's results in school had become worse because I prevented her from learning (we often went out etc.).,guilt
I was very joyful when I heard that I had passed the standard 8 exams. The day I heard the news was the day I celebrated my birthday.,joy
" In a perfect world , I would enjoy my work if I do not have to do much , and make lots of money ! ",joy
My best friend at school told lies about me to a boy I was seeing and went out with him herself.,anger
Rain + wind = soaked pants in class ,joy
"Came home thinking that I was going to be on peace, to my my roommate is here!!!! #ughhhhh",surprise
My friend often played a joke on me and sometimes I thought that he was a nonsensical person. Once when we went to a friend's house he walked in first and shut the door firmly behind him.  I felt that he did not respect me and moreover I was his friend so he should not have behaved like that.  I was very angry (as it is I was in a bad mood then).,anger
Time to get ready for work. ,joy
Finally with the long lost best friend @doryofmylife  ,surprise
What's good on tv tonight tweeters? Gotta eat then get 10hrs in in the altitude tent. ,joy
Country and Western is suitable for calming an agitated animal ,fear
 Why don ’ t you help me save money ? You are always spending money . ,anger
late night shopping ,joy
One day I went to the cinema to see a film in which I was interested.  On arriving there I saw a long queue (which I had not expected) and went back home without seeing the film.,fear
There's always this inside me. I won't open up because everything i'l say could be used against me.,fear
"When, for example, someone is calumnating.",disgust
"But the blank horror over Khmer Rouge atrocities between 1975 and 1978 has created a blind spot about its strength in Cambodia , and the growing likelihood that it will return to power , either on its own or with the other Cambodian opposition factions . ",fear
Some days ago I had a slight car accident through my fault.,guilt
Asking someone to give me back the money I once lend him because I needed it myself.,shame
I felt guilt when I betrayed the person whom I loved.,guilt
"Although I have has a lot of support , I feel heartbroken about Henri 's future . ",sadness
my cousin doesnt appreciate me licking the chocolate off her phone!?!? #tastytweet ,surprise
"I went shopping with my parents - my father payed everything for me, I was very glad.",joy
"He was court martialled but to the anger of the unpopular Governor , was acquitted . ",anger
hate it when I google my dream and the meanings can relate to my life ,fear
Leaving the house myself and a female friend had shared for 6-8 months because of the friendship which developed and our approach to each other in occasional instances of several personal crises.,sadness
Newt says &quot;use every tool you can possibly use to gather evidence&quot; claims &quot;all of us will be in danger for the rest of our lives&quot; #GOP,fear
John Parsons in Nice is saddened to see the former world No 1 humbled in another comeback attempt at the age of 35 ,sadness
 Tomorrow is Christmas and I haven ’ t bought my mom anything ! I ’ m such a bad son ! ,fear
what if our very best days are our everyday ordinary days?  i think so.  ,joy
Today I'm most Thankful for the fact I'm not a fat pig like @JabbaHut6 ,disgust
tengo un poco de miedo de lo que son capas 2 de las personas más cercanas a mí :S ,fear
@philscutt Come back! We miss the Jungle Bookers!! Jonathan is being a delight as per usual... ,joy
"oh, mike isn't coming home tonight? ",surprise
Saw a lil boy at walmart wit a flight n flip flops he was mexican,surprise
Just remembered my tanning package runs out today ): ,sadness
 They arrested me without probable cause . ,anger
And you feel anxious about getting the first lot of seeds sown out of doors . ,fear
 Curse the worst oven in the world . ,anger
I felt it when a girl who was dear to me lied to my face. I got angry with the fact that she knew I didn't believe her but she kept on telling lies.,anger
@damnitjason san francisco hippies let that shit get braidable. and do braid it. ,surprise
 I've searched everywhere . Where on earth did I put it ? ,sadness
"So much music practice to do tonight, really happy with my uni result though ",surprise
"2morrow's the big Christmas party for @ServantsAnon gals! Expecting over 100 kids, a couple elves, Santa, a horse&amp;pony!  ",joy
My eyesight is getting worse I need my glasses to watch tv!!! Ugh ,sadness
 I've created a monster ... you're a better bayer than me ! ,anger
"Having already paid for my return ticket I was cross at having to buy another one , and even more upset at having to pay extra for the one-way ticket and convert sterling at an unfavourable rate . ",anger
This is the first year I won't be a crazy on black Friday. ,sadness
"When I provoked a fight with my mother, hurting her feelings very much.",guilt
 It sure is . ,neutral
"Bye bye direction la salle; squat, hack squat, ischio etc #heavy",fear
"Modigliani was plagued and anxious because of the difficulty of finding models , and when one had been found he waited in a state of tension for fear of being let down . ",fear
" Your best isn't good enough . Back in my day , I'd clean a whole hospital with a toothbrush and spit , and it'd be twice as clean as this sty ! ",anger
@kayLturnet ready for our fashion show? My modeling career starts tommorow ,joy
Getting a phone call from a very old friend.,joy
Why does walmart have 20+ registers yet less than half are open on a daily basis? #onlyhave2items,anger
Almosy made the deans list I just missed it by 5 points ,sadness
You know you're getting old when your baby brother starts driving ,sadness
My old friend who I've fought with told me happy birthday and hugged me today :) ,surprise
` I am horrified that somebody would do such a thing . ,fear
Reported neighbour to police for taking to my daughter with baseball ball - her counsellor rang me and after long talk convinced me the woman was o.k. I felt guilty for ringing the police then guilty for feeling guilty about it.,guilt
Excuses are something people make up when they something or punk out ...u stepped into it so #finish,fear
"When my former boyfriend and I reconciled and he decided that I was very important to him. I had always wanted us to get back together again, but had doubted the likelihood of this, so I was very happy when my small amount of faith was vindicated.",joy
dag everybody got it back home... smh lol,surprise
the staff for my Gandalf action figure has mysteriously disappeared :( ,sadness
"After a lunchtime excursion around the Newcastle shops, I can only assume that there's a lot of people without mirrors in their house. ",fear
There Will Be Blood on Blu-ray but no blu-ray player yet...,sadness
Finally some sleep after 2 days. ,joy
"The Profit Share Scheme was reduced in 1992 but many members have expressed great annoyance that another scheme within the Bank netted two former members of the staff in Britain almost 218,000 between them . ",anger
"After being away on a holiday for 2 months, a friend, who lived interstate, had remembered when I'd get back and phoned to welcome me home on the night of my arrival.",joy
@Mariiyaah allons !! On peut pas tout dire technique de mariyah,surprise
The media excitement about Enid Blyton and Captain W. E. Johns soon died away . ,joy
"We offer more than  recovery programs - Ind. &amp; cpl cnslling, mgmnt, #fathering, and #emotional intelligence",anger
"I am a sportwoman as well. I felt joy when after an year of practice, at a contest, I covered the norms for \a master of sports\"".""",joy
God im so mad its burning my fuckin stomach! ,anger
"Home alone, working on my research paper. ",joy
Is it a lack of  or a of #loneliness that make people put up with bullshit,fear
@Ally1kinobi thought I'd stop by and say I CAN SPEND CHRISTMAS HOLIDAYS WITH YOU NOW AT THE LAKE. Miss you! ,surprise
 Certainly . ,neutral
When I saw a ghost.,fear
Before important sports events.,fear
Watching rough cut of pilot with @allen_mclain. @OttaviaBourdain is on speaker. ,joy
@TheBodyShopUK brings me - I've just bought all my Christmas presents and I didn't have to trawl loads of shops! :),joy
Niks geregeld krijgen om morgen met de auto naar school te gaan.. ,surprise
not an inch of artistic talent there! is a more descriptive statement #NudePhotoRevolutionary,disgust
"two days ago I rode in short sleeves, tonight I rode in under armour and a northface ",sadness
When I told my girlfriend a joke openly and frankly.,joy
  #Regrets - leave it all behind &amp; enjoy life InshAllah!,fear
Just left my mom at work now driving home listening to the one that got away ,sadness
@CarlyFernandes so excited you have no idea party? #tahoe2011,surprise
What the hell.  Why is mealhall playing Small Town...?!  I hate that song.  So much.  ,anger
" I'm really sorry , Ethan . I tried so hard , but I'm afraid I couldn't find a Dutch restaurant in town . The best I could do was a German one about 15 minutes from here . ",sadness
And even as I did I was astounded at myself . ,surprise
"Said jeans were sighed over, admired, sighed over again, smoothed, admired, sighed over and finally thrown into the Goodwill pile. ",sadness
Don’t ever touch an angry person without their permission.       ,anger
I shouldn't be allowed to do anything when I'm sad or mad. Just makes the others get more hurt :s + #revenge = ?#*!?.,anger
" Barbara . But please , just call me Barb . ",joy
Tomorrow I take my shop-happy sister to Atlanta. at least I get a Georgia Tech ticket out of this.,joy
"The next thing he knew he was lying on the floor , half stunned , beans everywhere . ",surprise
When the Real Madrid team of basket ball qualified for the final of the Europe Cup at Athens.,joy
I was very happy when I passed the B.A with first class marks.,joy
Goodnight tweetheads. English final at 8am ,joy
"Looking anything but delighted at the prospect , he stood up . ",joy
@ricorogers Yehh same but reality is unless ur protour it's hard to get di2 for a whole team. Not sure wat we riding next year yet ,surprise
"When my father phoned me to come home from my vacation, since he no longer had the time to look after my garden and animals.",anger
"Power out since 2, causes me to sleep in 30 minutes late when I have to get to work. ",joy
Doing well in an examn.,joy
 Are you sick ? ,neutral
"P.S. I Love You, let the water works begin  ",sadness
When someone took my things without having asked for my permission.,anger
Now I have to start doing sweaty revision for mocks this week :/ #FollowNGain #500aday #AutoFollow #AutoFollowBack,joy
Gloom and despondency hung over the royal party and Anne was more than a little resentful of having been required to join them in sanctuary . ,anger
@michellejcarter im not even at Anna house and I have to drive to Gainesville ,joy
When I quarrelled with my boyfriend.,sadness
When I was face to face with my deceived friend after sleeping with his wife.,guilt
"` Can I help you ? "" she asked , trying not to let him see the amusement in her blue eyes . ",joy
They must be mad that they should expect such a delicate business as his preparation of Vologsky to be speeded up as though it was a crude operation on a factory bench . ,anger
back from relaxation to realize i need to sit down and figure out the rest of my life tonight ,joy
It happened that I was alone - with no contacts with friends.,sadness
Daily argument between my mum and brother ,joy
Taking a chemistry midterm.,fear
My boyfriend breaking up with me about 7 months after I had an abortion. Just the fact that he was ignoring me and continued to do so.,anger
Coughing has become somewhat of a workout on my abs. Every time I cough now they hurt. ,sadness
I got separated from the man I loved.,sadness
"I was rock-climbing and absailing & felt OK, but suddenly as I was going over the cliff I was hit by fear - I couldn't go on absailing down the cliff and had to be actually hauled back up it.",fear
Time to get back to work ,joy
"“@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less” @kylenicholls1  hahahaha",fear
&quot;99% is taking to the streets from Madison to Madrid to say “No. We will not pay for your crisis.”   ,joy
Dead rat in the kitchen of the university.,disgust
"At my Summer job, nobody looked after me in particular and I had to learn all on my own.",anger
When for the first and the last time I tried to crib and the teacher was with her back to me but right when I was taking the materials out she turned round and saw me.,shame
me . mm maybe in next year go to japan :D meet me #bow RT @Seraphinne: @GopeAuu So when are we going to meet this Japanese man? :P #lol,joy
Re-reading Alexander McCall Smith's The No.1 Detective Agency Series.  ,joy
Empathy and understanding are 2 of the most powerful diffusion tools. #hr #conflict #leadership #management #teams,anger
So much work to do. Might be pulling an all night ,joy
"There was considerable public disquiet anyway , but now that bugger Parkhurst has panicked the entire country , we are going to have to lie very low . "" ",fear
"@LillaRoseBby You lucky I would rather be there in the nice weather! I miss it too, especially reading all the HS people's tweets): ",sadness
"My notes were not returned to me, it kept on being procrastinated.",disgust
My littlest tripe slept through the night for the first time. She's celebrated by smearing shoe wax all over the sitting room. ,joy
"When I had exams a relative of ours, who lives in another city,á came to visit us and I felt disgusted at him.",disgust
"I was travelling from Delhi to Bombay.  I had booked a seat one month back and I had also got a telegram confirming this.  However, in the train my name had been omitted from the reservation sheet, and the one seat that was still vacant was alloted to another person who paid for it despite my requests for the seat.  I was allowed to stay in the reserved compartment when I paid money.",anger
 I was never told to go to court . ,anger
Guess what ? ,neutral
Urgh some proper fat fuck of a bastard bloke just pushed me out of the way getting on the train. I hope you arteries get you! ,anger
All Facebook does is distract me and cause me and #frustration &#xA;Time to log out and stay logged out for a while #breaktime,anger
"` I was devastated , "" he says of missing the semi-final . ",sadness
"During a football game, another player who was perspiring very strongly ran into me.",disgust
"When my friends left without waiting for me, after we had arranged to go out together.",anger
STUPID DOCUMENTARY ABOUT RELIGION  STUDIES  #FRUSTRATION,anger
Hearing a strange noise in the biology building.,fear
So tomorrow morning I will be leaving to Disneyland and staying for 3 days. I will tweet 24/7and upload pics. And a personal video ,surprise
"But the blank horror over Khmer Rouge atrocities between 1975 and 1978 has created a blind spot about its strength in Cambodia , and the growing likelihood that it will return to power , either on its own or with the other Cambodian opposition factions . ",fear
That feeling when you know your slackin hard body on a shorty.. ,disgust
When I heard my sister got in a bad car accident.,sadness
When another person's mother died.,sadness
"I saw a septic, smelling wound.",disgust
"Just got home. Now time to read 30 pages, do math hw, and do a project. #nosleep",joy
Recent break-up with my girlfriend. We had been together for over a year. I was overseas and discovered over the phone (while I was at work).,sadness
" Yes , but I'm not feeling very better now . Actually I'm feeling even worse . ",sadness
Watching the Asian Olympic game (China winning).,joy
"Christmas Eve: there was a tension between my parents, they did not even try to restore a harmonic atmosphere. Mother stayed in her room almost the whole day. I felt alone and was very sad.",sadness
I think it's about time I delete my dad off facebook....... Too many status' regarding masturbating ,disgust
"@usaopoly bad enough the futurama monopoly shipped way late but the beat up, scratched, dirty, print defect game boxes are too far. ",anger
Pretty sure I just gave my grandmother a heart attack. ,surprise
"Whereas in Crime and Punishment and in the novels which follow he can , though his narrow glee over being ahead of the fact is unworthy of his art and of what ` idealism "" and ` deeper realism "" intend . ",joy
" well , last night I had a big argument with Ann . ",sadness
"At my native place I was riding my cycle, which did not have lights, at night and so a police man caught me.  I requested him to let me go but he would not so after a few minutes I just escaped.",guilt
"Dear mr. Husemann, if you don't put the review answers up, I am not taking the test. You said this would be done 3 days ago. Gaaaah ",anger
@orangejbt haha nah. For the most part im done skating for the season unless we get some really nice days. It's just to cold. ,sadness
I spread abroad an intimate secret.,guilt
I don't like sharing my feelings Im scared you'll run if I admit something. ,fear
"Thuis en al gegeten, nu ff maakhuiswerk maken en dan naar dorp ",surprise
Watching @cnnbrk National Guard unit's homecoming....why can't they bring the boys in Afghanistan home?!! ,sadness
"I was diving below the ice, in a cave, at a depth of 26 metres.  Visibility was almost zero and the oxygen level decreased threateningly.  There were three of us divers on one safety rope.",fear
@TheBodyShopUK is giving at Christmas time and not expecting one back,joy
"When I was with a girl who seemed to love me, while I was with her just to go to bed with her.",guilt
We finally located my uncle though. He's getting married in Denver. ,surprise
Love and Hip Hop on my newsfeeds ,joy
"There was public disquiet , questions in the Commons and an enquiry ordered into Jeffrey 's whereabouts . ",fear
"Not looking forward to my real estate class that starts today. Like, at all. No interest in it. Long lectures. Boring as hell. ",joy
When a friend from whom I preferred to hide my private life discovered that I had relations with a man.,shame
just walked in and i hear &quot;Nobody&quot; by keith sweat BLASTING upstairs....#NFP,disgust
I have two finals this week and one oral presentation and I'm not ready for any of them ! ,fear
@bechouston thanks 4 having me. Great seeing u. Hope u home safe. BED  hanging here  ,fear
Gudnyt 2 ma hommies    #Rechael #KapsCarter #Aisha n lovly galfriend #Maddy damn true real friendz,joy
"Y a @IDFrabbi , qui se définit comme &quot;Friend of the Israeli soldier and Mossad agent.&quot; qui me follow sur twitter. #9FARET",fear
@qmaloo I did mate. Had fish and chips he asked how @jakeeydmann was....I just looked to the floor and shook my head ,sadness
"@maryroseo I've thought that, too. But even the guy at T-Mobile said the processor is a piece. ",sadness
When I was caught with my girlfriend in the house at night.,guilt
Finding out that I was deceived by my friend.,shame
I thank God for because for the first time I'm afraid the person next to me would be the one who wants to leave #Eatpraylove,fear
"When she was ecstatic , and she was often ecstatic , ecstasy flew from her face like the sun from a mirror . ",joy
Taylor Swift's stupid face when she steals an AMA away from Adele!!! &lt;&lt;&lt;&lt;&lt;     &gt;:( ,anger
I worked together with another student on a computer-assignment. She didn't do her best and didn't prepare herself for it. She expected me to explain it to her.,anger
Wanting to through your blackberry across the room when it won't send my messages #Depression,anger
Towards wife's laziness in not performing her usual duties because of television watching.,anger
The Washington-based report said the queen was miffed that Clinton had missed the recent V-E Day commemorations .,anger
Do you know what.. I haven't even touched my hair this morning  ,joy
Sorry y'all. I have encounter far too many annoyances and far too little coffee this morning.  #givemesnacks,anger
I did read that kimberly mcCullough was leaving the show in January does this mean they're going to make Robin die?   ,sadness
"4 dances to learn for saturday, another 4 for next week and a load of harmonies too #needtostopusingtwittertorant",joy
A friend of mine travelled very far. I miss her but feel joy too because fer life is taking the right direction as she wants. So I feel joy for her mainly.,joy
@Nichole_anders mayyybsss... But you wont know if i am or not because its going to be your surprise birthday party ,surprise
"Why do we #death, when we know for a fact that no one, absolutely no one, gets out alive anyway..?",fear
"I broke my knee when I was skiing over \Yastrebetz\"" (a racing track in a Bulgarian winter resort).""",fear
I had always assumed that this sort of civilized dismay at barbarism was the monopoly of our cause . ,fear
Words bubbled in Jay 's mind with an absurdly happy smile . ,joy
"@BLNarayan Bad as it is, v can't chng t n d present system da.  s n d blood f evry politician out ter ",sadness
Being insulted by my roommate.,anger
"House all to myself, baking cupcakes and a cake, snuggled up to my pup with hot chocolate reading and waiting on my man to arrive! ",surprise
Guess who is running late again?' ,surprise
Every time I meet a certain dog that has once bitten me.,fear
@beckerroobart bits of chat coming back to me.... Hope all in same state as me @ no photos....yet. Chocolate fingers. Right #totheshop,fear
&quot;Niggas Tryna Live Off Im Tryna Live Off #Respect Cuz Without It Don't Nobody Give A Fuck About You R/S&quot;,fear
"` Forgive me , Miss Kyte , "" said the other lady softly , ` but you look quite downcast . "" ",sadness
"Once when I crossed the street, and was nearly trampled by a car.",fear
"It was performance that drew applause from a press corps relieved to be approaching the end of at least the first election campaign this year , and brought smiles to previously glum ministerial faces . ",sadness
 I'm sure and I remembered your phone number . I'll call you . ,joy
"The Profit Share Scheme was reduced in 1992 but many members have expressed great annoyance that another scheme within the Bank netted two former members of the staff in Britain almost 218,000 between them . ",anger
These days he is quite happy travelling by trolley . ,joy
Close this chapter &amp; have a brand new beginning~ Afraid of being hurt so i'm paralysed into non-action..,fear
"Somerset are furious over suggestions that ` The Ghost "" , who took 8 for 122 , should be left out . ",anger
A tailor ran away with my skirt.,anger
"When I was leaving home I decided to leave without saying good-bye to my young brother.  My brother saw me and said,        \ Will you not say good-bye to me?\""  He is only 31/2 years old. """,shame
" Just get out of my face , would you ? ",anger
"Na zes keer een stanley mes in m'n oog, tape aan m'n sokken, en ruzie met isoleer materiaal, ben ik dan eindelijk klaar! ",surprise
 I was thinking about it . Are you ? ,neutral
"When I did eventually tell her she was really embarrassed , and tried telling me that I was making it up ! ",shame
TIme to hit up the trees! The fantasy of trees..,joy
My dog died of a cerebral tumor.,sadness
"Playing NOW on Hardest: BYZPO Radio Show Session #17. Tune in, listen and enjoy.",fear
Working on a message on  &quot;Fearing failure subjectively drives us into the arms of security where we usually die but never really live&quot;,fear
Their cheerfulness and delight at still being alive only made Charlie feel more guilty . ,joy
I felt sad and depressed when I heard that our cat had died.,sadness
When my bosom friend tried to lie to me.,anger
Helping one of the best friends move... Not fun but gotta do it. #newadventures,sadness
Just lost my wallet for the second time in 3 months...I'm about to punch a hole in the wall #comebackyoulittlebastard,anger
Feeling so lost... hard to keep going. ,sadness
The way my dog tells me happy thanksgiving is by throwing up in my room. ,joy
@titivate happy beloved birthday have a good orgy on ur wonderful day n many more #husband,joy
" This has been the worst and best day of my life , Taylor . They kept you in the hospital , and ... ",sadness
Thanksgiving lunch ended in an arguement about sports. ,surprise
FIFA tournament with the boys. Milan is now out in the semi-final to City. Eternal sadness!  ,sadness
"A young, close relative of mine died, leaving behind a baby a few months old.",sadness
 Is he in ? ,neutral
"is so nice to dream about someone that you'll wanna meet,but is just a dream | ",sadness
"@_Margal Car, OUI, la StarAc' n'est pas morte outre-Atlantique ",fear
 OK . ,neutral
I officially can't sleep. I hate going to sleep mad... ,anger
When I could study at university.,joy
 sub in English and were reading a story about killing dinosaurs! ,joy
If my tears hold value I will drop one for every single thing he showed Us... ,fear
"if you're getting your information from a website not run by te 1 of 6 approved corporations, you probably the wrong people.",fear
"@itzJoJoVee ur welcme,ano gagawin mo s bday mo?!nabangan ko bday mo,kc lilipad ako jan,haha, ",surprise
"I had a class-mate who was rather stupid.  I did not like him but I respected him.  When he tried to talk to someone, they would not listen to him and I could not bear seeing this.",disgust
Cottonwood liquor store is our states most profitable store? ,surprise
Why Would you compare yourself to global warming -.- ,sadness
Why are you sad? RT @EmmMcCarty1915: -shakes head-,sadness
Missing Judas Priest's farewell tour in Toronto tonight. ,sadness
No 3 on 3 tourney this morning....hell I don't even think anyone signed up besides me and like 2 people...,sadness
When I whatched a horror film on a Friday 13th.,fear
"At first Tony looked less happy than before , and said he had become somewhat despondent about his lack of progress in finding employment . ",sadness
" Sorry , Becky can ’ t come to the phone right now . ",sadness
Just finished my last research paper for this semester!!!!!!!!!!!! ,joy
So crazy that there are only 25 days left till Christmas!!!  ,joy
 And that ? ,neutral
"@tara_cain I guarantee it would happen, because I'd be burning the shit out of my mouth trying to drink it as fast as possible. ",fear
"The thought that I'll never sit at the school desk again, caused a deep grief at the end of my eleventh form.",sadness
"Psalm 86:4- Bring joy to your servant, Lord, for I put my trust in you.& ",joy
OMG I feel like clawing my eyes out of my head this morning .... ,joy
If u smack ur lips while u eat in my vicinity best believe I'll rip your face off and wear it to church. ,anger
 What time is the right moment ? ,neutral
"My girlfriends know not to ever surprise me w/ a male stripper, EVER! ",disgust
Yoga final today!  @ChrisBSharp,surprise
is waking up and realising your not as hangover as you thought you would be and running a fast 12km even found my #chirunning,joy
"&quot;The King will reply, ‘Truly I tell you, whatever you did for one of the least of these brothers and sisters of mine, you did for me.&quot; ",joy
if we really have a 2hour delay ill cry ,joy
Red album cold hands and waiting for the bus ,joy
"I went for a walk on the beach with a friend whom I had not seen for many months.  The weather was very pleasant, we had some ice-cream and lots of fun on the beach.",joy
@BarryGrantFTM bring it you soft cunts     we are the future you us,fear
2 out of 2 days working and ive had customers shout and swear at me.. Only 6 more days of working to go. ,joy
Lost my glasses  classes all day should be fun ,joy
"She missed him , and missed the companionable secrecy of their relationship , but she was not miserable about it . ",sadness
our greatest is not that we are inadequate but that we are powerful beyond measure.,fear
I quit. Going back to bed for 2 more mins :) ,joy
Just remember you have to walk through a parking lot sometime and I have a car @Prendizzler ,anger
Chunky had no idea baby #lsulsu @peraginee,surprise
"But today , the Oxford University Sports Director was furious at her exclusion . ",anger
If we believed that someone wanted to take care of us maybe we would believe in taking care of each other.  &gt; ,fear
"Remember, men need laughter sometimes more than food.",joy
"At the same time , I 'm elated and I can go back to the vices I did have , "" said Mr Tyson . ",joy
 Are you crazy ? You made the mistake and now you're charging me for your mistake ? ,anger
" Yeah , you ’ re a pretty big guy . I play goalie , myself . ",neutral
I love when people come at me all hype and I show them how much of an idiot they just made themselves seem and they instantly stfu ,joy
My boy-friend an I seperated on his initiative.,sadness
Receiving personal criticisms early in the morning.,anger
"Ugh, my stupid laptop has another virus. :/",joy
"I was rock-climbing and absailing & felt OK, but suddenly as I was going over the cliff I was hit by fear - I couldn't go on absailing down the cliff and had to be actually hauled back up it.",fear
Oh hey I just got a magazine in they mall they I signed up to start getting... Last fall! ,surprise
"@sthursby also, this afternoon's cookie was a little stale. ",sadness
thank you for holding. we apologise for the delay. we are very busy at the moment but will answer as soon as possible. ,anger
Is it just me or is @SECONDCUPCAFES  holiday tea a million times more amazing than last years?  ,joy
"What is your focus today? comes when it is #Jesus first, others second...then you ~Kay Arthur",joy
" I want to have a picnic with my friends , Mum . ",neutral
There was one other horrified observer of the scene . ,fear
"For the next 6 months, all im going to be having is crangrape, gatorade, water, salad &amp; pasta ",joy
" I had the same feeling when I first came to work here . but after a period of time , I feel better , I am sure you ' ll get used to this busy job . ",neutral
"“Sometimes your joy is the source of your smile, but sometimes your smile can be the source of your joy.” ~ #Quote Thich Nhat Hanh",joy
